filename,combo_name,cipher,mode,dh_group,pfs,traffic_class,timestamp,notes,capture_stop,capture_seconds,config_version
aes128-dh14-tunnel-pfs-off__icmp_run1.pcap,aes128-dh14-tunnel-pfs-off,aes128,tunnel,dh14,off,icmp,2026-09-24T17:18:22.441813,run 1,time,30,v2-pfs-in-esp
aes128-dh14-tunnel-pfs-off__file_transfer_run1.pcap,aes128-dh14-tunnel-pfs-off,aes128,tunnel,dh14,off,file_transfer,2026-09-24T17:18:55.896478,run 1,time,30,v2-pfs-in-esp
aes128-dh14-tunnel-pfs-off__web_run1.pcap,aes128-dh14-tunnel-pfs-off,aes128,tunnel,dh14,off,web,2026-09-24T17:19:28.954007,run 1,time,30,v2-pfs-in-esp
aes128-dh14-tunnel-pfs-off__video_run1.pcap,aes128-dh14-tunnel-pfs-off,aes128,tunnel,dh14,off,video,2026-09-24T17:20:01.733712,run 1,time,30,v2-pfs-in-esp
aes128-dh14-tunnel-pfs-off__voip_run1.pcap,aes128-dh14-tunnel-pfs-off,aes128,tunnel,dh14,off,voip,2026-09-24T17:20:34.884816,run 1,time,30,v2-pfs-in-esp
aes128-dh14-tunnel-pfs-on__icmp_run1.pcap,aes128-dh14-tunnel-pfs-on,aes128,tunnel,dh14,on,icmp,2026-09-24T17:21:31.255804,run 1,time,30,v2-pfs-in-esp
aes128-dh14-tunnel-pfs-on__file_transfer_run1.pcap,aes128-dh14-tunnel-pfs-on,aes128,tunnel,dh14,on,file_transfer,2026-09-24T17:22:04.628476,run 1,time,30,v2-pfs-in-esp
aes128-dh14-tunnel-pfs-on__web_run1.pcap,aes128-dh14-tunnel-pfs-on,aes128,tunnel,dh14,on,web,2026-09-24T17:22:37.588201,run 1,time,30,v2-pfs-in-esp
aes128-dh14-tunnel-pfs-on__video_run1.pcap,aes128-dh14-tunnel-pfs-on,aes128,tunnel,dh14,on,video,2026-09-24T17:23:10.342927,run 1,time,30,v2-pfs-in-esp
aes128-dh14-tunnel-pfs-on__voip_run1.pcap,aes128-dh14-tunnel-pfs-on,aes128,tunnel,dh14,on,voip,2026-09-24T17:23:43.474081,run 1,time,30,v2-pfs-in-esp
aes128-dh19-transport-pfs-off__icmp_run1.pcap,aes128-dh19-transport-pfs-off,aes128,transport,dh19,off,icmp,2026-09-24T17:24:39.857081,run 1,time,30,v2-pfs-in-esp
aes128-dh19-transport-pfs-off__file_transfer_run1.pcap,aes128-dh19-transport-pfs-off,aes128,transport,dh19,off,file_transfer,2026-09-24T17:25:13.197478,run 1,time,30,v2-pfs-in-esp
aes128-dh19-transport-pfs-off__web_run1.pcap,aes128-dh19-transport-pfs-off,aes128,transport,dh19,off,web,2026-09-24T17:25:46.327649,run 1,time,30,v2-pfs-in-esp
aes128-dh19-transport-pfs-off__video_run1.pcap,aes128-dh19-transport-pfs-off,aes128,transport,dh19,off,video,2026-09-24T17:26:19.057690,run 1,time,30,v2-pfs-in-esp
aes128-dh19-transport-pfs-off__voip_run1.pcap,aes128-dh19-transport-pfs-off,aes128,transport,dh19,off,voip,2026-09-24T17:26:52.201174,run 1,time,30,v2-pfs-in-esp
aes128-dh19-transport-pfs-on__icmp_run1.pcap,aes128-dh19-transport-pfs-on,aes128,transport,dh19,on,icmp,2026-09-24T17:27:48.478167,run 1,time,30,v2-pfs-in-esp
aes128-dh19-transport-pfs-on__file_transfer_run1.pcap,aes128-dh19-transport-pfs-on,aes128,transport,dh19,on,file_transfer,2026-09-24T17:28:22.020632,run 1,time,30,v2-pfs-in-esp
aes128-dh19-transport-pfs-on__web_run1.pcap,aes128-dh19-transport-pfs-on,aes128,transport,dh19,on,web,2026-09-24T17:28:55.003318,run 1,time,30,v2-pfs-in-esp
aes128-dh19-transport-pfs-on__video_run1.pcap,aes128-dh19-transport-pfs-on,aes128,transport,dh19,on,video,2026-09-24T17:29:27.756523,run 1,time,30,v2-pfs-in-esp
aes128-dh19-transport-pfs-on__voip_run1.pcap,aes128-dh19-transport-pfs-on,aes128,transport,dh19,on,voip,2026-09-24T17:30:00.887797,run 1,time,30,v2-pfs-in-esp
aes128-dh19-tunnel-pfs-off__icmp_run1.pcap,aes128-dh19-tunnel-pfs-off,aes128,tunnel,dh19,off,icmp,2026-09-24T17:30:57.148892,run 1,time,30,v2-pfs-in-esp
aes128-dh19-tunnel-pfs-off__file_transfer_run1.pcap,aes128-dh19-tunnel-pfs-off,aes128,tunnel,dh19,off,file_transfer,2026-09-24T17:31:30.714772,run 1,time,30,v2-pfs-in-esp
aes128-dh19-tunnel-pfs-off__web_run1.pcap,aes128-dh19-tunnel-pfs-off,aes128,tunnel,dh19,off,web,2026-09-24T17:32:03.357844,run 1,time,30,v2-pfs-in-esp
aes128-dh19-tunnel-pfs-off__video_run1.pcap,aes128-dh19-tunnel-pfs-off,aes128,tunnel,dh19,off,video,2026-09-24T17:32:36.111064,run 1,time,30,v2-pfs-in-esp
aes128-dh19-tunnel-pfs-off__voip_run1.pcap,aes128-dh19-tunnel-pfs-off,aes128,tunnel,dh19,off,voip,2026-09-24T17:33:09.254498,run 1,time,30,v2-pfs-in-esp
aes128-dh19-tunnel-pfs-on__icmp_run1.pcap,aes128-dh19-tunnel-pfs-on,aes128,tunnel,dh19,on,icmp,2026-09-24T17:34:05.589167,run 1,time,30,v2-pfs-in-esp
aes128-dh19-tunnel-pfs-on__file_transfer_run1.pcap,aes128-dh19-tunnel-pfs-on,aes128,tunnel,dh19,on,file_transfer,2026-09-24T17:34:38.955454,run 1,time,30,v2-pfs-in-esp
aes128-dh19-tunnel-pfs-on__web_run1.pcap,aes128-dh19-tunnel-pfs-on,aes128,tunnel,dh19,on,web,2026-09-24T17:35:11.936550,run 1,time,30,v2-pfs-in-esp
aes128-dh19-tunnel-pfs-on__video_run1.pcap,aes128-dh19-tunnel-pfs-on,aes128,tunnel,dh19,on,video,2026-09-24T17:35:44.689430,run 1,time,30,v2-pfs-in-esp
aes128-dh19-tunnel-pfs-on__voip_run1.pcap,aes128-dh19-tunnel-pfs-on,aes128,tunnel,dh19,on,voip,2026-09-24T17:36:17.807375,run 1,time,30,v2-pfs-in-esp
aes128-dh2-transport-pfs-off__icmp_run1.pcap,aes128-dh2-transport-pfs-off,aes128,transport,dh2,off,icmp,2026-09-24T17:37:14.117297,run 1,time,30,v2-pfs-in-esp
aes128-dh2-transport-pfs-off__file_transfer_run1.pcap,aes128-dh2-transport-pfs-off,aes128,transport,dh2,off,file_transfer,2026-09-24T17:37:47.452884,run 1,time,30,v2-pfs-in-esp
aes128-dh2-transport-pfs-off__web_run1.pcap,aes128-dh2-transport-pfs-off,aes128,transport,dh2,off,web,2026-09-24T17:38:20.924607,run 1,time,30,v2-pfs-in-esp
aes128-dh2-transport-pfs-off__video_run1.pcap,aes128-dh2-transport-pfs-off,aes128,transport,dh2,off,video,2026-09-24T17:38:53.664375,run 1,time,30,v2-pfs-in-esp
aes128-dh2-transport-pfs-off__voip_run1.pcap,aes128-dh2-transport-pfs-off,aes128,transport,dh2,off,voip,2026-09-24T17:39:26.795333,run 1,time,30,v2-pfs-in-esp
aes128-dh2-transport-pfs-on__icmp_run1.pcap,aes128-dh2-transport-pfs-on,aes128,transport,dh2,on,icmp,2026-09-24T17:40:23.093155,run 1,time,30,v2-pfs-in-esp
aes128-dh2-transport-pfs-on__file_transfer_run1.pcap,aes128-dh2-transport-pfs-on,aes128,transport,dh2,on,file_transfer,2026-09-24T17:40:56.278492,run 1,time,30,v2-pfs-in-esp
aes128-dh2-transport-pfs-on__web_run1.pcap,aes128-dh2-transport-pfs-on,aes128,transport,dh2,on,web,2026-09-24T17:41:29.594714,run 1,time,30,v2-pfs-in-esp
aes128-dh2-transport-pfs-on__video_run1.pcap,aes128-dh2-transport-pfs-on,aes128,transport,dh2,on,video,2026-09-24T17:42:03.305865,run 1,time,30,v2-pfs-in-esp
aes128-dh2-transport-pfs-on__voip_run1.pcap,aes128-dh2-transport-pfs-on,aes128,transport,dh2,on,voip,2026-09-24T17:42:37.293478,run 1,time,30,v2-pfs-in-esp
aes128-dh2-tunnel-pfs-off__icmp_run1.pcap,aes128-dh2-tunnel-pfs-off,aes128,tunnel,dh2,off,icmp,2026-09-24T17:43:34.542234,run 1,time,30,v2-pfs-in-esp
aes128-dh2-tunnel-pfs-off__file_transfer_run1.pcap,aes128-dh2-tunnel-pfs-off,aes128,tunnel,dh2,off,file_transfer,2026-09-24T17:44:08.846573,run 1,time,30,v2-pfs-in-esp
aes128-dh2-tunnel-pfs-off__web_run1.pcap,aes128-dh2-tunnel-pfs-off,aes128,tunnel,dh2,off,web,2026-09-24T17:44:42.868906,run 1,time,30,v2-pfs-in-esp
aes128-dh2-tunnel-pfs-off__video_run1.pcap,aes128-dh2-tunnel-pfs-off,aes128,tunnel,dh2,off,video,2026-09-24T17:45:16.662935,run 1,time,30,v2-pfs-in-esp
aes128-dh2-tunnel-pfs-off__voip_run1.pcap,aes128-dh2-tunnel-pfs-off,aes128,tunnel,dh2,off,voip,2026-09-24T17:45:50.614241,run 1,time,30,v2-pfs-in-esp
aes128-dh2-tunnel-pfs-on__icmp_run1.pcap,aes128-dh2-tunnel-pfs-on,aes128,tunnel,dh2,on,icmp,2026-09-24T17:46:47.740715,run 1,time,30,v2-pfs-in-esp
aes128-dh2-tunnel-pfs-on__file_transfer_run1.pcap,aes128-dh2-tunnel-pfs-on,aes128,tunnel,dh2,on,file_transfer,2026-09-24T17:47:21.452654,run 1,time,30,v2-pfs-in-esp
aes128-dh2-tunnel-pfs-on__web_run1.pcap,aes128-dh2-tunnel-pfs-on,aes128,tunnel,dh2,on,web,2026-09-24T17:47:55.634906,run 1,time,30,v2-pfs-in-esp
aes128-dh2-tunnel-pfs-on__video_run1.pcap,aes128-dh2-tunnel-pfs-on,aes128,tunnel,dh2,on,video,2026-09-24T17:48:29.511024,run 1,time,30,v2-pfs-in-esp
aes128-dh2-tunnel-pfs-on__voip_run1.pcap,aes128-dh2-tunnel-pfs-on,aes128,tunnel,dh2,on,voip,2026-09-24T17:49:03.579994,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh14-transport-pfs-off__icmp_run1.pcap,aes128gcm16-dh14-transport-pfs-off,aes128gcm16,transport,dh14,off,icmp,2026-09-24T17:50:01.040336,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh14-transport-pfs-off__file_transfer_run1.pcap,aes128gcm16-dh14-transport-pfs-off,aes128gcm16,transport,dh14,off,file_transfer,2026-09-24T17:50:34.977835,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh14-transport-pfs-off__web_run1.pcap,aes128gcm16-dh14-transport-pfs-off,aes128gcm16,transport,dh14,off,web,2026-09-24T17:51:08.925299,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh14-transport-pfs-off__video_run1.pcap,aes128gcm16-dh14-transport-pfs-off,aes128gcm16,transport,dh14,off,video,2026-09-24T17:51:42.629275,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh14-transport-pfs-off__voip_run1.pcap,aes128gcm16-dh14-transport-pfs-off,aes128gcm16,transport,dh14,off,voip,2026-09-24T17:52:16.621853,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh14-transport-pfs-on__icmp_run1.pcap,aes128gcm16-dh14-transport-pfs-on,aes128gcm16,transport,dh14,on,icmp,2026-09-24T17:53:13.860014,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh14-transport-pfs-on__file_transfer_run1.pcap,aes128gcm16-dh14-transport-pfs-on,aes128gcm16,transport,dh14,on,file_transfer,2026-09-24T17:53:48.101490,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh14-transport-pfs-on__web_run1.pcap,aes128gcm16-dh14-transport-pfs-on,aes128gcm16,transport,dh14,on,web,2026-09-24T17:54:21.483364,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh14-transport-pfs-on__video_run1.pcap,aes128gcm16-dh14-transport-pfs-on,aes128gcm16,transport,dh14,on,video,2026-09-24T17:54:55.193420,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh14-transport-pfs-on__voip_run1.pcap,aes128gcm16-dh14-transport-pfs-on,aes128gcm16,transport,dh14,on,voip,2026-09-24T17:55:29.138679,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh14-tunnel-pfs-off__icmp_run1.pcap,aes128gcm16-dh14-tunnel-pfs-off,aes128gcm16,tunnel,dh14,off,icmp,2026-09-24T17:56:26.365155,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh14-tunnel-pfs-off__file_transfer_run1.pcap,aes128gcm16-dh14-tunnel-pfs-off,aes128gcm16,tunnel,dh14,off,file_transfer,2026-09-24T17:57:00.430755,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh14-tunnel-pfs-off__web_run1.pcap,aes128gcm16-dh14-tunnel-pfs-off,aes128gcm16,tunnel,dh14,off,web,2026-09-24T17:57:34.342820,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh14-tunnel-pfs-off__video_run1.pcap,aes128gcm16-dh14-tunnel-pfs-off,aes128gcm16,tunnel,dh14,off,video,2026-09-24T17:58:08.079823,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh14-tunnel-pfs-off__voip_run1.pcap,aes128gcm16-dh14-tunnel-pfs-off,aes128gcm16,tunnel,dh14,off,voip,2026-09-24T17:58:42.074793,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh14-tunnel-pfs-on__icmp_run1.pcap,aes128gcm16-dh14-tunnel-pfs-on,aes128gcm16,tunnel,dh14,on,icmp,2026-09-24T17:59:39.306415,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh14-tunnel-pfs-on__file_transfer_run1.pcap,aes128gcm16-dh14-tunnel-pfs-on,aes128gcm16,tunnel,dh14,on,file_transfer,2026-09-24T18:00:13.676545,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh14-tunnel-pfs-on__web_run1.pcap,aes128gcm16-dh14-tunnel-pfs-on,aes128gcm16,tunnel,dh14,on,web,2026-09-24T18:00:47.145886,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh14-tunnel-pfs-on__video_run1.pcap,aes128gcm16-dh14-tunnel-pfs-on,aes128gcm16,tunnel,dh14,on,video,2026-09-24T18:01:21.036156,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh14-tunnel-pfs-on__voip_run1.pcap,aes128gcm16-dh14-tunnel-pfs-on,aes128gcm16,tunnel,dh14,on,voip,2026-09-24T18:01:55.107368,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh19-transport-pfs-off__icmp_run1.pcap,aes128gcm16-dh19-transport-pfs-off,aes128gcm16,transport,dh19,off,icmp,2026-09-24T18:02:52.749173,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh19-transport-pfs-off__file_transfer_run1.pcap,aes128gcm16-dh19-transport-pfs-off,aes128gcm16,transport,dh19,off,file_transfer,2026-09-24T18:03:26.745290,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh19-transport-pfs-off__web_run1.pcap,aes128gcm16-dh19-transport-pfs-off,aes128gcm16,transport,dh19,off,web,2026-09-24T18:04:00.491211,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh19-transport-pfs-off__video_run1.pcap,aes128gcm16-dh19-transport-pfs-off,aes128gcm16,transport,dh19,off,video,2026-09-24T18:04:34.194089,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh19-transport-pfs-off__voip_run1.pcap,aes128gcm16-dh19-transport-pfs-off,aes128gcm16,transport,dh19,off,voip,2026-09-24T18:05:08.222793,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh19-transport-pfs-on__icmp_run1.pcap,aes128gcm16-dh19-transport-pfs-on,aes128gcm16,transport,dh19,on,icmp,2026-09-24T18:06:05.495371,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh19-transport-pfs-on__file_transfer_run1.pcap,aes128gcm16-dh19-transport-pfs-on,aes128gcm16,transport,dh19,on,file_transfer,2026-09-24T18:06:39.617426,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh19-transport-pfs-on__web_run1.pcap,aes128gcm16-dh19-transport-pfs-on,aes128gcm16,transport,dh19,on,web,2026-09-24T18:07:13.786307,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh19-transport-pfs-on__video_run1.pcap,aes128gcm16-dh19-transport-pfs-on,aes128gcm16,transport,dh19,on,video,2026-09-24T18:07:47.501196,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh19-transport-pfs-on__voip_run1.pcap,aes128gcm16-dh19-transport-pfs-on,aes128gcm16,transport,dh19,on,voip,2026-09-24T18:08:21.455509,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh19-tunnel-pfs-off__icmp_run1.pcap,aes128gcm16-dh19-tunnel-pfs-off,aes128gcm16,tunnel,dh19,off,icmp,2026-09-24T18:09:18.739737,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh19-tunnel-pfs-off__file_transfer_run1.pcap,aes128gcm16-dh19-tunnel-pfs-off,aes128gcm16,tunnel,dh19,off,file_transfer,2026-09-24T18:09:53.123109,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh19-tunnel-pfs-off__web_run1.pcap,aes128gcm16-dh19-tunnel-pfs-off,aes128gcm16,tunnel,dh19,off,web,2026-09-24T18:10:26.642130,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh19-tunnel-pfs-off__video_run1.pcap,aes128gcm16-dh19-tunnel-pfs-off,aes128gcm16,tunnel,dh19,off,video,2026-09-24T18:11:00.456218,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh19-tunnel-pfs-off__voip_run1.pcap,aes128gcm16-dh19-tunnel-pfs-off,aes128gcm16,tunnel,dh19,off,voip,2026-09-24T18:11:34.462503,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh19-tunnel-pfs-on__icmp_run1.pcap,aes128gcm16-dh19-tunnel-pfs-on,aes128gcm16,tunnel,dh19,on,icmp,2026-09-24T18:12:31.738287,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh19-tunnel-pfs-on__file_transfer_run1.pcap,aes128gcm16-dh19-tunnel-pfs-on,aes128gcm16,tunnel,dh19,on,file_transfer,2026-09-24T18:13:05.907109,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh19-tunnel-pfs-on__web_run1.pcap,aes128gcm16-dh19-tunnel-pfs-on,aes128gcm16,tunnel,dh19,on,web,2026-09-24T18:13:39.246838,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh19-tunnel-pfs-on__video_run1.pcap,aes128gcm16-dh19-tunnel-pfs-on,aes128gcm16,tunnel,dh19,on,video,2026-09-24T18:14:13.072044,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh19-tunnel-pfs-on__voip_run1.pcap,aes128gcm16-dh19-tunnel-pfs-on,aes128gcm16,tunnel,dh19,on,voip,2026-09-24T18:14:47.031399,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh2-transport-pfs-off__icmp_run1.pcap,aes128gcm16-dh2-transport-pfs-off,aes128gcm16,transport,dh2,off,icmp,2026-09-24T18:15:44.226709,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh2-transport-pfs-off__file_transfer_run1.pcap,aes128gcm16-dh2-transport-pfs-off,aes128gcm16,transport,dh2,off,file_transfer,2026-09-24T18:16:18.934748,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh2-transport-pfs-off__web_run1.pcap,aes128gcm16-dh2-transport-pfs-off,aes128gcm16,transport,dh2,off,web,2026-09-24T18:16:52.667846,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh2-transport-pfs-off__video_run1.pcap,aes128gcm16-dh2-transport-pfs-off,aes128gcm16,transport,dh2,off,video,2026-09-24T18:17:26.472659,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh2-transport-pfs-off__voip_run1.pcap,aes128gcm16-dh2-transport-pfs-off,aes128gcm16,transport,dh2,off,voip,2026-09-24T18:18:00.502234,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh2-transport-pfs-on__icmp_run1.pcap,aes128gcm16-dh2-transport-pfs-on,aes128gcm16,transport,dh2,on,icmp,2026-09-24T18:18:57.815052,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh2-transport-pfs-on__file_transfer_run1.pcap,aes128gcm16-dh2-transport-pfs-on,aes128gcm16,transport,dh2,on,file_transfer,2026-09-24T18:19:31.747255,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh2-transport-pfs-on__web_run1.pcap,aes128gcm16-dh2-transport-pfs-on,aes128gcm16,transport,dh2,on,web,2026-09-24T18:20:05.367814,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh2-transport-pfs-on__video_run1.pcap,aes128gcm16-dh2-transport-pfs-on,aes128gcm16,transport,dh2,on,video,2026-09-24T18:20:39.081869,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh2-transport-pfs-on__voip_run1.pcap,aes128gcm16-dh2-transport-pfs-on,aes128gcm16,transport,dh2,on,voip,2026-09-24T18:21:13.082837,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh2-tunnel-pfs-off__icmp_run1.pcap,aes128gcm16-dh2-tunnel-pfs-off,aes128gcm16,tunnel,dh2,off,icmp,2026-09-24T18:22:10.343480,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh2-tunnel-pfs-off__file_transfer_run1.pcap,aes128gcm16-dh2-tunnel-pfs-off,aes128gcm16,tunnel,dh2,off,file_transfer,2026-09-24T18:22:44.576663,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh2-tunnel-pfs-off__web_run1.pcap,aes128gcm16-dh2-tunnel-pfs-off,aes128gcm16,tunnel,dh2,off,web,2026-09-24T18:23:18.046439,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh2-tunnel-pfs-off__video_run1.pcap,aes128gcm16-dh2-tunnel-pfs-off,aes128gcm16,tunnel,dh2,off,video,2026-09-24T18:23:51.763360,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh2-tunnel-pfs-off__voip_run1.pcap,aes128gcm16-dh2-tunnel-pfs-off,aes128gcm16,tunnel,dh2,off,voip,2026-09-24T18:24:25.745275,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh2-tunnel-pfs-on__icmp_run1.pcap,aes128gcm16-dh2-tunnel-pfs-on,aes128gcm16,tunnel,dh2,on,icmp,2026-09-24T18:25:23.099475,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh2-tunnel-pfs-on__file_transfer_run1.pcap,aes128gcm16-dh2-tunnel-pfs-on,aes128gcm16,tunnel,dh2,on,file_transfer,2026-09-24T18:25:57.635869,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh2-tunnel-pfs-on__web_run1.pcap,aes128gcm16-dh2-tunnel-pfs-on,aes128gcm16,tunnel,dh2,on,web,2026-09-24T18:26:31.787651,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh2-tunnel-pfs-on__video_run1.pcap,aes128gcm16-dh2-tunnel-pfs-on,aes128gcm16,tunnel,dh2,on,video,2026-09-24T18:27:05.660373,run 1,time,30,v2-pfs-in-esp
aes128gcm16-dh2-tunnel-pfs-on__voip_run1.pcap,aes128gcm16-dh2-tunnel-pfs-on,aes128gcm16,tunnel,dh2,on,voip,2026-09-24T18:27:39.777613,run 1,time,30,v2-pfs-in-esp
aes256-dh14-transport-pfs-off__icmp_run1.pcap,aes256-dh14-transport-pfs-off,aes256,transport,dh14,off,icmp,2026-09-24T18:28:37.388198,run 1,time,30,v2-pfs-in-esp
aes256-dh14-transport-pfs-off__file_transfer_run1.pcap,aes256-dh14-transport-pfs-off,aes256,transport,dh14,off,file_transfer,2026-09-24T18:29:11.557104,run 1,time,30,v2-pfs-in-esp
aes256-dh14-transport-pfs-off__web_run1.pcap,aes256-dh14-transport-pfs-off,aes256,transport,dh14,off,web,2026-09-24T18:29:45.677479,run 1,time,30,v2-pfs-in-esp
aes256-dh14-transport-pfs-off__video_run1.pcap,aes256-dh14-transport-pfs-off,aes256,transport,dh14,off,video,2026-09-24T18:30:19.391975,run 1,time,30,v2-pfs-in-esp
aes256-dh14-transport-pfs-off__voip_run1.pcap,aes256-dh14-transport-pfs-off,aes256,transport,dh14,off,voip,2026-09-24T18:30:53.346622,run 1,time,30,v2-pfs-in-esp
aes256-dh14-transport-pfs-on__icmp_run1.pcap,aes256-dh14-transport-pfs-on,aes256,transport,dh14,on,icmp,2026-09-24T18:31:50.767198,run 1,time,30,v2-pfs-in-esp
aes256-dh14-transport-pfs-on__file_transfer_run1.pcap,aes256-dh14-transport-pfs-on,aes256,transport,dh14,on,file_transfer,2026-09-24T18:32:24.835390,run 1,time,30,v2-pfs-in-esp
aes256-dh14-transport-pfs-on__web_run1.pcap,aes256-dh14-transport-pfs-on,aes256,transport,dh14,on,web,2026-09-24T18:32:58.965590,run 1,time,30,v2-pfs-in-esp
aes256-dh14-transport-pfs-on__video_run1.pcap,aes256-dh14-transport-pfs-on,aes256,transport,dh14,on,video,2026-09-24T18:33:32.710788,run 1,time,30,v2-pfs-in-esp
aes256-dh14-transport-pfs-on__voip_run1.pcap,aes256-dh14-transport-pfs-on,aes256,transport,dh14,on,voip,2026-09-24T18:34:06.733553,run 1,time,30,v2-pfs-in-esp
aes256-dh14-tunnel-pfs-off__icmp_run1.pcap,aes256-dh14-tunnel-pfs-off,aes256,tunnel,dh14,off,icmp,2026-09-24T18:35:04.365047,run 1,time,30,v2-pfs-in-esp
aes256-dh14-tunnel-pfs-off__file_transfer_run1.pcap,aes256-dh14-tunnel-pfs-off,aes256,tunnel,dh14,off,file_transfer,2026-09-24T18:35:38.328918,run 1,time,30,v2-pfs-in-esp
